'Compactness Overall Standard Deviation','Fraction Of Low Energy Windows Overall Standard Deviation','Strongest Beat Overall Average','LPC Overall Average6','Method of Moments Overall Average1','Method of Moments Overall Average2','Method of Moments Overall Average3','Method of Moments Overall Average4','Area Method of Moments of MFCCs Overall Average2',Valance_Average
0.354709,-0.884486,-0.161667,0.158633,0.034026,0.228577,0.476377,0.250148,-1.096945,-0.165987
-0.244893,-0.867223,0.260071,0.176606,-1.160715,-1.718071,-2.03127,-1.97226,-1.093599,0.422597
0.068823,-0.287601,-0.792531,1.346866,-0.479503,-0.051145,0.644102,0.350039,-1.09042,0.199654
-0.201884,0.714182,0.814256,-0.126814,-1.034336,-0.713202,-0.358082,-0.480939,-1.09226,-0.069434
0.514097,0.177979,-1.290949,0.782839,-0.875284,-0.431961,0.021123,-0.167754,-1.096025,0.171884
0.339529,-0.538178,0.124139,2.180487,-1.97632,-1.559131,-1.311302,-1.311917,-1.101881,-0.141651
-0.809076,0.265341,0.497081,0.201647,1.091908,0.879232,0.57222,0.5421,-1.102717,-0.001707
0.400248,-0.624494,0.828198,-1.019301,-0.848159,-0.443363,0.382617,0.202857,-1.100877,-0.239809
-0.209474,1.796003,-0.496269,0.472048,0.473578,0.693765,0.955591,0.730784,-1.098869,0.355659
-0.884975,-0.076259,0.748033,-1.233361,1.557352,0.65804,-0.094514,0.097657,-1.097614,0.261776
0.428078,0.555152,0.462227,1.484591,-0.089887,-0.597665,-0.77479,-0.900771,-1.095858,-0.11645
-0.647158,-0.999051,-0.471871,-0.189396,-0.255104,-0.946557,-1.378496,-1.483228,-1.091675,0.510153
0.008103,-1.276307,0.49011,-0.933273,-1.137905,-1.697396,-2.035645,-1.992769,-1.084983,0.363658
-0.439701,-1.057117,0.660897,-0.417046,0.212189,-0.007058,0.30761,-0.020571,-1.079629,0.453763
-0.057676,-0.411582,0.204304,1.106755,-0.671229,0.163967,1.202491,0.970136,-1.07988,0.315369
0.483737,-0.077305,0.883965,0.134602,0.275687,0.068953,-0.070553,-0.055316,-1.081135,0.202159
-0.156344,1.990605,0.047459,-0.182247,-0.51156,0.565306,2.15467,2.253279,-1.079378,-0.302114
0.116892,-0.28237,0.002149,1.031027,-0.711916,-0.210768,0.46075,0.259317,-1.077956,0.311215
-0.745827,0.35218,0.84911,0.3527,0.288017,0.216415,0.563886,0.357278,-1.074275,0.183569
0.762034,-0.480111,0.026547,0.928642,-0.612046,0.233137,1.209783,0.989439,-1.072184,0.179526
-0.819196,-0.272954,0.057916,0.346844,0.920527,1.551932,1.693165,1.710875,-1.07369,0.214067
0.106772,-1.048747,0.287955,0.08452,0.070399,-0.251054,0.050293,-0.267162,-1.072016,0.455897
0.101712,1.195979,0.761974,-1.270316,-0.044267,-0.014659,0.396161,0.226502,-1.069423,-0.221241
-0.391631,0.210936,0.629528,-1.280413,1.647358,0.32283,-0.537266,-0.305768,-1.068503,-0.047813
0.354709,-1.247535,0.667867,-1.294146,0.816958,0.122921,-0.669571,-0.508445,-1.070427,0.252257
2.641799,-0.662682,-1.879988,-0.028568,-0.929534,-0.996724,-0.785208,-0.910905,-1.070092,0.13714
-0.723057,-0.305388,0.702722,-0.700837,0.751611,0.52046,0.450333,0.359691,-1.066997,0.380812
0.137132,-0.627632,0.294925,0.012426,0.911896,0.097837,-0.569561,-0.41145,-1.066412,0.162135
-0.194294,-0.164667,-0.416104,-1.359979,-0.386414,-0.625029,-0.631025,-0.763723,-1.063651,0.443131
1.857509,-0.39118,-0.583405,-0.147493,-0.62191,-0.554339,-0.390376,-0.590482,-1.061644,0.243411
0.711434,-0.643849,0.274013,0.207099,-0.649035,-0.144639,0.512839,0.328324,-1.065743,-0.04541
-0.184174,0.600141,-0.552036,-1.332111,0.310826,-0.054945,-0.032007,-0.160515,-1.065241,0.160802
1.303446,-0.224827,-0.618259,-0.689932,0.259042,0.883793,1.392093,1.250507,-1.063651,0.420981
-0.224654,-0.635479,0.148537,0.012022,0.630164,1.112587,1.310835,1.409271,-1.065743,0.445217
-0.348622,-1.161742,0.883965,0.500724,0.008134,0.028667,0.058627,-0.172097,-1.064488,-0.185676
1.389465,-0.24052,0.375091,1.346058,-0.782812,-0.184164,0.695149,0.432558,-1.059385,-0.196799
-1.27459,-1.396625,0.883965,0.883205,0.630164,-0.49277,-1.47986,-1.41953,-1.055537,-0.378586
0.966961,1.050028,0.883965,0.388848,0.262124,1.253968,1.856723,1.757684,-1.05537,0.356387
-1.049423,-0.069459,-0.269716,-0.065524,0.703525,0.108479,-0.182022,-0.265232,-1.056541,0.097264
-0.535839,0.886813,0.542392,-2.86809,-0.803772,-1.757976,-2.227122,-2.069015,-1.054366,0.175519
-0.389101,-0.763645,0.674838,-1.246487,0.595641,0.693765,0.857665,0.636683,-1.055119,0.397553
0.030873,-0.303295,0.448285,-1.105127,0.55372,0.721129,0.873292,0.729336,-1.055704,0.30204
-0.47512,0.085386,0.713178,1.335961,-0.226745,0.544783,1.123317,0.875071,-1.055788,-0.188617
-0.280313,-1.179005,-0.956347,-0.298041,-0.131807,0.311429,1.056643,0.732714,-1.055035,0.416845
1.364166,0.533704,-0.339424,0.204676,-0.092969,-0.187965,-0.083054,-0.084753,-1.054617,-0.062503
0.435668,-0.694592,-0.231376,1.206111,-1.112013,-0.83406,-0.495595,-0.549946,-1.053948,-0.020964
0.850582,-1.123031,-2.228532,3.804109,-1.08797,-0.714723,-0.090346,-0.246895,-1.05286,0.110197
0.003044,-1.073857,-0.970289,0.372692,-0.290243,-0.348349,-0.105973,-0.377187,-1.051438,0.615195
0.734204,-0.277139,0.789858,-0.018067,-1.124342,-0.885748,-0.26328,-0.39456,-1.049096,0.026241
-0.680048,-0.516207,0.357663,-0.556448,0.750378,0.637517,0.714942,0.588427,-1.046502,0.243762
-0.039966,1.201734,0.880479,1.14149,-0.36607,0.493096,1.431681,1.099464,-1.046168,0.4324
1.308506,1.429816,-0.869211,-1.828083,-0.356823,-0.780092,-0.733119,-0.878573,-1.046335,0.217349
-0.176584,-0.370255,0.883965,0.027572,1.183148,1.61046,1.133734,1.568518,-1.043993,0.232048
-0.136105,-0.318989,0.660897,1.326873,-0.184208,0.031707,0.621183,0.378511,-1.039476,0.259922
0.215561,-1.019976,0.782887,0.451854,0.135129,0.910397,1.847347,1.555971,-1.036129,0.388806
0.30411,0.227676,-1.371114,-0.81857,-0.104682,-0.49353,-0.296617,-0.491556,-1.030943,0.011775
0.820223,0.521149,0.800314,0.211138,-0.393812,-0.90171,-1.306093,-1.391058,-1.02835,-0.051125
-0.039966,0.536843,-0.698425,0.967011,0.834219,-0.22141,-0.362249,-0.421583,-1.023749,0.257136
1.156708,0.548874,-1.346716,-0.270314,0.313292,-0.409918,-0.654986,-0.756484,-1.012539,0.41221
0.584936,-1.076473,0.883965,1.172185,-1.397444,-0.755769,-0.26328,-0.390699,-1.01095,0.297804
-0.318262,-0.324743,-0.032706,0.14066,0.342883,0.25366,0.546176,0.368859,-1.012958,0.313912
-0.002016,0.345902,0.814256,-0.891673,0.750378,0.127482,-0.436214,-0.224697,-1.010197,-0.079395
-0.682578,1.352917,0.883965,0.744268,-1.017075,-0.206208,0.869124,0.606282,-1.008524,-0.212552
0.660835,-0.308003,-0.130298,1.047586,-1.095368,-0.455524,0.311777,0.144949,-1.008942,-0.072901
0.24845,0.060276,-0.276686,-0.754756,-1.269832,-1.165469,-0.679989,-0.766618,-1.007269,-0.295829
-0.050086,-0.052719,0.646955,2.174428,-1.107697,-0.130957,1.063936,0.789657,-1.005345,0.27129
1.116229,-0.787185,0.883965,1.060309,-0.839528,-0.013899,0.842038,0.539688,-1.009863,0.435446
0.417958,-1.225564,0.298411,1.420777,-0.139205,-0.273097,0.120091,-0.210702,-1.008608,0.308381
-1.140501,-0.580028,0.305382,0.136217,0.700443,0.356275,0.230519,0.091384,-1.004007,0.194236
0.423018,0.004302,-0.402162,0.233958,-1.224212,-1.231599,-1.059193,-1.05471,-1.00133,-0.344122
-0.105745,-0.981264,-1.039998,-1.093616,-0.40121,-0.951117,-1.146702,-1.227951,-0.999741,0.223641
-0.247423,0.548874,-1.514017,0.469827,-0.478886,0.206533,1.203533,1.279461,-0.995809,-0.316091
0.26869,0.604326,0.274013,-0.501519,-1.402992,-1.762005,-2.114924,-2.017573,-0.992379,-0.18599
-0.52572,0.872689,-0.820415,-1.082509,-0.001113,-0.49201,-0.584146,-0.707262,-0.988364,0.245342
0.364829,-0.962955,0.2531,0.31211,0.442137,0.349434,0.621183,0.348109,-0.984097,-0.100763
-1.196161,-0.621355,0.504052,0.413081,1.483374,0.742412,-0.196607,0.097657,-0.982843,-0.006198
0.26363,0.637806,-0.332454,0.915313,-0.720547,0.104678,1.340005,1.259193,-0.982173,-0.357335
1.82968,-1.095306,-1.639493,0.553633,-0.658282,-0.183404,0.263856,0.127576,-0.97958,0.232638
2.57602,-0.084106,0.183391,0.775165,-0.22243,0.084155,0.421163,0.258352,-0.979162,0.261216
-0.877385,0.747662,0.883965,0.985792,-1.687807,-1.900954,-2.235352,-2.106993,-0.977322,-0.404335
-0.120925,-0.679422,0.117168,-0.933879,-0.1577,0.092516,0.65452,0.310951,-0.977656,0.109279
0.802513,0.360027,-1.81725,0.345228,0.611053,0.369957,-0.186189,0.144466,-0.975649,0.293329
-0.181644,0.20989,0.883965,-0.747688,-1.461558,-1.654905,-1.882088,-1.805775,-0.980082,-0.075506
-0.49283,0.620543,-1.886959,0.932075,-0.56581,0.696806,1.493145,1.359567,-0.988447,-0.134554
0.223151,-0.167806,0.399489,-0.072027,-0.406758,-0.140078,0.114882,-0.017193,-0.992295,0.170564
1.05551,0.779572,-0.109385,0.353104,-0.70082,-0.092191,0.191973,0.240979,-0.992965,0.252045
-0.793896,2.024085,0.866537,-1.040707,1.05492,0.740892,0.206558,0.290684,-0.994638,0.241483
0.443258,-0.425706,-1.155017,0.38178,0.943953,0.961325,0.929547,0.958555,-0.99079,0.241324
0.450848,-0.637572,-0.771619,0.500522,-0.569509,-0.107393,0.305526,0.145431,-0.986523,0.026099
0.987201,-0.22535,0.190362,-0.098643,0.149925,0.722649,1.081646,1.099946,-0.98485,0.23651
0.051113,2.012577,0.423887,-0.050176,2.692911,1.504805,-0.676863,0.83164,-0.983345,0.369263
0.412898,-0.496851,0.420401,1.853339,0.188763,0.755334,1.123317,0.902094,-0.981923,0.421616
0.157371,0.632051,0.807285,-1.612812,0.148692,0.702126,1.320211,1.065684,-0.983261,0.310795
0.342059,2.342145,-3.16263,-0.906011,1.295347,0.581269,-0.017422,0.325428,-0.982424,0.07329
0.756974,0.640421,-2.064717,0.979127,0.28925,0.243019,0.150303,0.088971,-0.978911,0.321088
0.334469,1.559551,0.56679,-0.101773,0.533376,0.302307,0.10759,0.181141,-0.977907,0.474037
0.460967,0.55986,0.835168,-1.26345,-0.235993,-0.403077,-0.252863,-0.467427,-0.978074,0.10538
4.703722,0.812529,-2.448115,-0.743649,1.092525,1.161994,0.38991,1.168471,-0.978744,0.323091
0.888532,-0.479065,0.120654,-0.865622,0.416245,1.342141,1.906728,1.710392,-0.982926,0.437131
-0.449821,-1.24335,-0.586891,-0.099471,1.245412,1.40219,0.553468,0.985578,-0.990622,-0.027338
0.987201,4.019282,-2.517824,-0.419086,0.005052,0.31675,0.299276,0.535827,-0.992881,-0.014345
-1.087372,-1.234457,0.883965,-1.955913,1.008683,1.453117,1.746295,1.453185,-0.993467,0.241756
-0.120925,-0.623447,-1.740571,-0.809078,-0.694655,-0.418279,-0.123683,-0.314936,-0.993634,-0.029731
1.0378,0.209367,-1.642978,-2.328902,0.72017,1.025174,1.094147,1.22107,-0.99698,0.057407
-0.50295,0.895706,0.730605,0.820602,0.08951,0.845788,1.255621,1.042521,-1.00133,0.146964
-0.50801,-0.762598,0.622557,-0.473247,-0.875284,-1.340295,-1.302968,-1.323982,-1.003087,-0.080002
1.604512,-0.478019,0.563304,-0.400911,0.374324,0.293946,-0.130975,0.19031,-1.003087,0.09663
-0.642098,2.174745,0.814256,0.347046,-0.984401,-1.17383,-1.077945,-1.135298,-1.000242,-0.344449
0.359769,-1.145002,0.883965,1.098476,-0.70082,-0.114994,0.226352,0.050366,-1.002166,-0.016687
1.257907,-0.372871,-2.333095,0.319581,1.688662,1.649226,0.582637,1.079196,-1.003338,0.348015
0.562166,-1.560363,0.193848,-2.395543,0.121567,0.802461,1.258747,1.178605,-1.001581,0.052609
-0.717997,-0.496851,0.29144,-0.056033,1.052454,1.81189,1.780674,1.835377,-1.00133,0.14055
1.088399,2.122433,-1.207299,0.499513,0.538925,0.7941,1.168113,1.174744,-1.000661,0.133063
2.439402,-0.83479,-0.492784,-0.377001,-2.263539,-2.098355,-2.315381,-2.122531,-1.00317,-0.100908
-0.578849,-1.195745,-2.245959,-1.117445,-1.509027,-0.888028,0.043,-0.093439,-1.006851,-0.171298
0.27881,1.730089,-1.270037,-1.027783,0.827438,0.287865,-0.152853,-0.050008,-1.006516,0.144503
2.366033,-1.016314,-0.109385,-0.399174,-0.669996,0.18525,1.057685,0.887135,-1.009361,0.234303
4.384946,0.728829,0.103226,-1.338573,0.994504,0.420885,-0.138268,0.52135,-1.014798,0.327873
0.215561,-1.14134,0.416916,0.848672,1.561667,2.479268,1.618158,2.35317,-1.018311,0.148535
-1.158211,-1.308217,0.883965,-1.049189,0.067933,-0.052665,0.104465,-0.146038,-1.021156,-0.04786
-0.014666,1.509331,-0.687968,0.618053,0.350898,0.800941,0.947257,0.92767,-1.020403,0.319595
-0.232243,-1.232887,0.260071,-0.501519,1.016698,1.245607,1.210825,1.178605,-1.019064,-0.025103
-0.538369,-0.054288,-0.217434,-0.699423,-0.845693,-1.108461,-1.182122,-1.260283,-1.020152,-0.175011
0.858172,-0.907504,0.883965,-0.664689,-1.734043,-1.438349,-1.153994,-1.185003,-1.021909,-0.492588
1.892929,1.019163,0.6121,0.599071,-1.939331,-2.067342,-2.251396,-2.073696,-1.017391,-0.112884
0.342059,0.365258,0.455256,0.828478,0.246712,0.777377,1.017056,0.977857,-1.013292,0.458603
-0.791366,0.066554,-0.084987,1.485197,0.058685,-0.509492,-0.546642,-0.633912,-1.012958,-0.024523
0.048583,1.920507,-0.639172,0.34018,-2.177293,-1.799783,-1.780307,-1.678667,-1.013794,-0.019933
1.82462,2.049195,-0.597347,-0.079074,-1.206951,-0.8295,-0.319536,-0.480939,-1.015133,-0.072686
0.433138,-0.799217,0.075343,0.030197,-0.60095,-0.622749,-0.466426,-0.612197,-1.013627,0.370781
1.05045,0.100034,0.416916,1.164511,0.44152,1.037336,0.449291,1.070027,-1.016889,0.174166
0.767093,0.493946,0.075343,0.376731,0.079029,1.049498,1.951524,1.706049,-1.018897,0.10523
-0.586439,0.421232,0.793343,-1.85272,1.92046,1.112587,-0.352873,0.26173,-1.020988,0.225993
-0.320792,0.825084,0.545877,-0.475468,3.621332,2.277079,-1.495487,1.03094,-1.020654,-0.45192
0.650715,-1.165927,-0.572949,0.971252,1.388436,2.1509,1.292083,2.158696,-1.019566,0.021796
0.486267,-0.08149,0.626042,0.018686,-0.585538,-0.531536,-0.572686,-0.743937,-1.018813,0.18287
-0.143695,-0.323174,0.883965,0.344218,-0.796374,-0.946557,-0.702908,-0.849619,-1.012037,0.02313
3.719565,4.636569,0.838654,-0.680239,0.457549,0.986408,1.381676,1.148686,-1.004509,-0.056054
1.528613,0.864319,0.870023,0.502138,-0.642254,-0.504932,-0.371625,-0.580348,-1.006851,0.011892
0.546986,0.940172,0.842139,-0.622079,0.77627,1.380146,1.397302,1.558866,-1.008357,0.224756
2.206645,-1.633077,-0.395191,-0.082608,-0.165097,0.177649,-0.179939,0.440279,-1.011368,0.180605
0.592526,-1.294093,0.455256,-0.711338,1.634412,1.732078,0.559719,1.2341,-1.016471,0.253788
1.230077,-1.4594,-1.02257,-0.076712,1.456865,1.951751,0.43679,1.703636,-1.021156,0.42224
0.617825,1.963926,-0.179094,-1.820813,-1.711849,-1.679457,-1.842397,-1.791491,-1.024334,-0.431872
3.173092,-0.447678,-1.988037,0.978522,-0.010977,0.503737,0.205516,0.655021,-1.031027,-0.001217
0.448318,-0.310619,-2.779232,0.589983,1.936488,2.359171,1.177489,1.93575,-1.035544,0.009334
2.469761,0.422278,0.702722,-0.694375,1.162804,1.33682,0.669104,1.215762,-1.036548,0.183335
0.29905,-0.710286,0.211275,0.188318,0.216505,0.782698,0.895169,0.951316,-1.038053,-0.023598
8.233026,0.266387,-2.165794,1.314555,0.309593,-0.640992,-1.138368,-0.989563,-1.032114,0.420494
0.896122,-0.119679,0.859567,0.519303,-1.115095,-1.471186,-1.477673,-1.481781,-1.022745,-0.223537
0.195321,-0.286032,-3.497929,-0.165001,0.016148,0.218695,0.283649,0.286341,-1.021909,0.118251
-1.140501,1.779786,0.866537,0.66349,-2.255586,-2.031845,-2.193682,-2.029203,-1.027848,-0.133956
-0.434641,-0.407397,0.883965,0.791522,-0.975154,-1.30989,-1.389435,-1.441728,-1.029688,0.088912
-0.52319,1.560074,0.883965,1.306073,-0.451761,-0.004778,0.862874,0.552234,-1.024251,-0.382741
2.274954,-1.430105,-2.298241,0.619669,1.437138,1.521527,0.274273,1.131796,-1.024418,0.313437
-0.143695,0.465698,0.883965,0.454076,-1.713699,-1.883623,-2.153886,-2.041702,-1.02676,-0.035256
0.139662,-0.998528,-0.123327,-0.785047,-0.698354,0.019546,1.151444,0.806064,-1.026091,0.173071
0.974551,3.50662,-1.712687,0.505369,-0.094818,0.308388,0.684731,0.594217,-1.023749,0.071016
-1.094962,-0.763122,0.744547,1.464599,-1.324082,-1.076536,-0.412254,-0.551876,-1.018813,-0.259833
-0.103215,0.044583,0.148537,0.664096,0.507484,0.651199,0.953508,0.719685,-1.015049,0.048599
0.321819,1.133728,-1.569784,1.534269,-0.027005,0.324351,0.510755,0.586014,-1.011954,-0.227166
0.30158,0.199427,0.099741,-2.419776,-0.861721,-0.303502,0.429497,0.251596,-1.010364,-0.030413
-0.093095,-0.55021,0.179906,1.020324,-1.181059,-1.217917,-1.090446,-1.200927,-1.008273,-0.020888
0.187731,2.617308,0.211275,0.107541,-0.142904,-0.602226,-1.441315,-0.929725,-1.006349,-0.121856
0.192791,2.043964,-2.392348,-0.054417,0.180749,0.217175,0.137801,0.231328,-1.004258,0.152933
1.108639,1.431385,-0.18258,-1.438535,1.120267,0.625355,-0.334121,0.281997,-1.002919,0.236622
-1.029183,-0.675237,0.622557,0.581704,-0.984401,-0.456284,0.264897,-0.016228,-1.001999,-0.454803
-0.45741,-0.784047,0.622557,0.306455,-0.940015,-0.595385,0.029457,-0.172097,-1.005931,-0.204725
-0.649688,-1.111522,0.326294,-0.752938,4.065199,2.878327,-2.244728,1.61967,-1.009946,0.126998
-0.328382,-1.019452,-0.050133,-0.684076,-1.66623,-0.920713,-0.111182,-0.239174,-1.009779,-0.1172
-0.234773,-0.186638,0.531935,-0.856939,0.125882,0.275703,0.327404,0.295509,-1.011536,-0.01461
5.495601,0.580262,-1.315347,0.339978,0.803395,1.332259,1.42543,1.457045,-1.012623,0.24568
-0.48271,-0.415244,0.340236,0.948836,0.123416,-0.657714,-1.093572,-1.09428,-1.011201,-0.191988
-0.915334,0.329685,0.883965,0.183674,-1.279696,-1.331174,-0.944598,-0.976534,-1.005931,-0.156549
1.872689,0.088525,0.472683,0.062104,-1.326548,-1.043091,-0.589355,-0.695198,-1.00384,0.037314
1.984008,-0.712378,-0.897095,1.312334,0.856412,0.436087,0.44304,0.295027,-1.000744,0.136096
0.362299,-0.356654,-0.879667,0.364817,-1.359222,-1.760865,-1.91157,-1.860836,-0.994554,-0.069057
1.111169,0.725691,0.883965,1.463589,-0.337096,0.742412,1.740045,1.538599,-0.991041,0.181464
0.402778,-0.385426,0.145052,-0.43203,-0.365454,-0.797575,-0.651861,-0.807154,-0.990288,-0.280556
-0.778716,-0.643326,0.84911,0.713572,-0.866653,-1.285567,-1.311302,-1.388163,-0.989702,-0.179051
-0.945694,-0.70767,0.096255,0.308878,0.49947,0.475613,0.327404,0.134815,-0.991375,0.179963
0.326879,-0.333636,-0.370793,-0.149815,-0.658282,-0.394715,0.012789,-0.149899,-0.993467,-0.052818
0.29399,0.457328,-0.116356,0.333112,0.562967,0.101638,-0.140351,-0.303355,-0.997482,-0.109151
-0.325852,1.301127,0.504052,-0.542514,-0.451145,-0.365831,0.198224,0.063395,-0.996311,-0.454862
-0.533309,-1.565594,0.883965,-1.072816,0.434739,-0.025301,-0.571645,-0.569731,-0.993885,0.209223
-0.002016,-0.47488,-1.514017,-0.16595,-0.89008,-0.383314,0.269064,0.015139,-0.995474,-0.063514
2.464701,0.094803,-2.20762,1.629788,-1.24209,-1.160908,-1.019606,-1.122752,-0.998486,0.05736
0.071353,-0.335729,-0.245318,1.012246,-0.764317,-0.597665,-0.187231,-0.437991,-1.000493,0.199475
0.939131,-0.79974,0.511023,0.083914,-0.492449,-0.237372,-0.08097,-0.223249,-1.00384,0.338192
-1.082312,-0.241566,0.883965,-1.533246,0.156706,-0.22521,-0.317452,-0.452468,-1.005764,-0.182766
-0.310672,-0.739058,0.458741,0.040092,0.33302,0.237698,0.464917,0.151222,-1.004927,0.409286
0.908772,1.079846,0.389032,0.678838,1.283634,-0.270057,-0.786249,-0.858788,-1.002166,-0.13657
-1.355549,-0.797125,0.883965,1.006794,2.072114,1.072301,0.382617,0.452826,-0.993299,-0.437757
0.663365,0.043536,0.026547,0.417928,-0.66568,0.176889,1.476477,1.108633,-0.98828,-0.131607
0.491327,-0.195008,-0.26623,-0.49748,-0.365454,-0.447923,-0.42163,-0.498794,-0.987109,-0.102493
0.572286,0.314515,-1.45825,0.867655,-0.529438,0.418605,1.7963,1.831999,-0.984014,-0.007442
0.076413,-0.236858,-0.492784,-0.205067,-0.227362,-0.083069,0.431581,0.212991,-0.982341,0.195883
1.204778,0.099511,-1.350202,0.443373,-1.097217,-0.723084,-0.272656,-0.319762,-0.979915,-0.156226
-1.178451,-0.546025,0.883965,1.031835,-1.372785,-2.037394,-2.313996,-2.131951,-0.974728,0.056158
-0.47765,0.615311,0.68878,-1.593627,-0.525122,-0.254855,0.247187,-0.018641,-0.97155,0.076188
0.29399,1.792864,-0.708881,0.429842,0.771338,-0.013139,-0.144519,-0.325553,-0.972135,0.406962
-0.085505,1.330945,-0.158182,2.016913,0.358295,0.223256,0.604515,0.563333,-0.966279,-0.328799
-0.389101,1.510377,0.026547,0.957923,-1.440597,-1.006606,-0.437256,-0.593377,-0.961428,-0.0049
-0.702817,-0.733303,-0.430046,0.41086,-0.104682,-0.114994,0.109674,-0.116119,-0.961511,0.37205
-0.252483,-0.961386,0.52845,-1.063123,-0.312436,0.151805,0.87225,0.66419,-0.961009,-0.034118
0.466027,-0.529808,-0.290628,1.084744,-1.187224,-0.808976,-0.073678,-0.209255,-0.964272,-0.377762
0.410368,-1.071242,0.057916,0.909053,-1.020157,-1.094019,-0.975852,-1.107792,-0.966949,-0.366053
-0.239833,-0.661112,0.110197,0.979531,-0.696504,-0.477568,-0.034091,-0.320245,-0.968538,0.17026
-0.057676,0.405538,-0.370793,1.108371,-0.292709,-0.368872,-0.226818,-0.379118,-0.967953,0.1188
-1.120262,-1.587042,0.692266,1.359588,-0.945563,-0.69496,-0.295575,-0.555254,-0.969877,-0.257889
0.946721,0.917677,-0.775104,-0.166132,-1.585471,-1.402624,-0.975852,-0.998732,-0.971466,-0.00934
-0.51813,-0.07469,0.486625,2.235011,1.51913,2.054366,1.151444,1.80594,-0.97247,0.186173
0.827813,0.081724,0.552848,-0.082588,-0.596018,-0.264736,0.25448,-0.014298,-0.973641,0.091489
-0.809076,0.38409,0.545877,0.455287,-0.925835,-1.537164,-1.811143,-1.753706,-0.9759,-0.525667
-0.325852,-0.120725,0.876994,-0.940947,-0.870352,-0.271577,0.773282,0.671428,-0.977656,-0.192628
-0.877385,-0.14165,0.842139,0.122081,-0.328465,0.056791,0.717026,0.421941,-0.977573,0.297529
-0.378981,-0.119679,-0.66357,0.811717,-0.168796,-0.663035,-0.99252,-1.065809,-0.97523,0.293005
1.02009,1.719104,0.720149,1.62898,0.128964,-0.240413,-0.168479,-0.330861,-0.972553,0.031805
-0.404281,-0.638618,0.078828,-0.336552,-0.591086,-0.303502,0.221143,0.056639,-0.971382,-0.329717
-0.234773,-0.20024,0.218246,0.832921,-0.531287,-0.071668,0.316986,0.07739,-0.971968,0.249419
0.572286,-0.802356,0.375091,0.997302,-0.216882,0.313709,1.017056,0.760703,-0.972972,0.174255
-0.305612,0.474068,-2.298241,1.825067,-0.1016,-0.406117,-0.325787,-0.423514,-0.970044,-0.112579
-0.168994,-0.811772,-0.8239,0.167316,-0.104066,0.509058,1.511897,1.231204,-0.965527,0.289717
-0.396691,0.592294,0.751518,0.597859,-0.213799,-0.325545,-0.216401,-0.368984,-0.96469,0.103836
-0.024786,-0.345145,0.883965,-0.025337,-0.615745,-0.49201,0.276357,0.023825,-0.962682,0.257023
-1.21893,0.614788,0.037003,1.180465,-1.199553,-1.444202,-1.638105,-1.70405,-0.959922,-0.035063
-0.062736,-1.072811,-0.165152,-1.210945,0.195544,1.013012,1.620241,1.430987,-0.958751,0.301617
2.955515,-0.783,-2.577076,1.00538,-0.746439,-0.333906,-0.462259,-0.263302,-0.962013,0.342017
0.170021,1.838376,-1.77194,0.287271,0.156706,-0.024541,-0.268489,-0.43606,-0.965108,0.070961
-0.52572,-1.264275,0.598159,2.190584,1.37549,0.966645,0.422205,0.325428,-0.961762,0.324955
-0.692697,-0.444016,0.831683,1.170771,-0.203319,-0.230531,0.232603,-0.056281,-0.959085,0.355436
0.526747,2.920721,0.842139,1.08434,0.18753,-0.034422,-0.02784,-0.061589,-0.961344,-0.070749
0.792393,0.097941,-0.590376,1.241855,0.292948,-0.030622,-0.269531,0.107791,-0.961679,-0.041509
0.220621,-0.211748,0.883965,1.254174,-0.899943,-0.276138,0.346156,0.271864,-0.96218,-0.06304
-0.166464,-0.301203,0.883965,-0.380111,2.575779,2.1509,-0.279949,1.153994,-0.963519,-0.164752
0.228211,-1.014221,-0.54158,-0.630157,-0.147836,0.628395,1.316044,1.065202,-0.963184,-0.017939
-0.953284,-0.708193,-0.133783,0.828882,-0.955427,-0.580183,0.283649,0.047953,-0.963603,-0.010142
0.29905,-1.014744,-0.179094,0.927632,-1.213116,-0.620469,0.074253,-0.143626,-0.962682,0.025225
-0.45741,-0.447154,0.280984,0.031611,-0.010977,-0.21989,-0.070553,-0.307215,-0.963017,0.103743
0.648185,-0.31585,-0.513696,1.131796,-1.395594,-0.869785,-0.365374,-0.395042,-0.962348,-0.124929
0.000514,-1.061826,-0.008308,0.79859,-1.1564,-0.924514,-0.464342,-0.611714,-0.964021,0.397573
0.683605,-0.526146,0.817741,-0.626118,1.254043,1.300335,1.105606,1.095121,-0.962933,0.519222
-0.940634,-0.12334,0.779401,-0.214578,0.623383,0.93092,1.197282,0.964345,-0.963017,-0.426897
0.175081,-0.211748,0.075343,0.96378,0.218971,0.925599,1.483769,1.237478,-0.965108,0.182066
0.207971,0.131944,0.026547,1.170166,0.097524,1.087503,1.799426,1.668409,-0.967953,0.165247
-0.171524,-0.310619,-0.855269,-0.638638,1.100539,1.154393,0.653478,0.805581,-0.970713,0.406431
0.101712,-0.742197,-1.813765,-1.209128,-1.493615,-2.009878,-2.250041,-2.066023,-0.972972,-0.211008
-0.414401,0.731968,-1.517503,0.765876,-1.7661,-2.039142,-2.284732,-2.112253,-0.969458,-0.071146
-0.421991,-1.2015,-0.078016,1.738029,1.851414,2.28696,1.05456,1.844063,-0.965359,0.340421
0.726614,-0.727026,0.455256,-0.292266,0.472345,0.987929,1.353548,1.255333,-0.966363,0.556999
